,apple,aromatic,berry,blend,character,cherry,cinnamon,dry,fresh,herb,plum,smoky,soft,spice,sweet,tobacco,vanilla
White Blend,0.40925788860301876,0.08237659844370268,0.0007579991848638725,0.8144739598509174,0.07861866082679177,0.005084778818600926,0.017276882202248756,0.12412942511971911,0.24056325821837124,0.06946401982185212,0.01220979304870578,0.015899226536451403,0.10065515911523042,0.12484498845853255,0.1770307098165143,0.0,0.14242512783553915
Portuguese Red,0.0031795794831586148,0.01592509529700887,0.4297024758766278,0.4208112167364831,0.4091058934997418,0.036673185718373746,0.005538082555285563,0.3210948296638801,0.20954414568359045,0.014314244760418461,0.24967956046580822,0.0624318406610006,0.40544173581896703,0.2822486970074131,0.10464055611456145,0.007195945734121698,0.02765590542410792
Pinot Gris,0.6405136980828174,0.08315907896646346,0.007241398093413418,0.028294250527740022,0.09651576272480811,0.01214411188616854,0.12608088538614365,0.4985192145170721,0.41772372791080026,0.039500656617674795,0.013722810365438104,0.029534200665964277,0.12549045708305576,0.22936199350373535,0.22253006928246125,0.0,0.11447615035506502
Riesling,0.5158147252035862,0.1473725731668114,0.012877906951313795,0.015724291119833055,0.08247685753039191,0.032174766171142136,0.014559665202813413,0.6530282102751953,0.36068086513649816,0.061215157243806134,0.0461938074368588,0.04180388147878792,0.07490176292718882,0.13474976469993138,0.3396107920821823,0.0006053824422327946,0.022020017785999397
Pinot Noir,0.014422356122808625,0.037171402600263956,0.1472471807556052,0.05562933269918146,0.1117318163996898,0.8328825927974073,0.13816201041709217,0.23562522554610524,0.14224394635349139,0.09104907672264635,0.20174548831720257,0.13531575493652745,0.178820927281854,0.20461965177937105,0.13529036341514666,0.04884792727698712,0.10381680384866034
Tempranillo-Merlot,0.0,0.0,0.45567669122915516,0.22255768663333994,0.0,0.4366787936978493,0.0,0.20843938970994508,0.08732870908239444,0.0,0.6476475337727634,0.0,0.09514084396275038,0.18041218171075463,0.2000437807363252,0.0,0.0
Frappato,0.030860338238138902,0.0,0.604896619055873,0.0,0.030860338238138902,0.6406961860084293,0.08062721898545,0.029125978904845196,0.26846053965776023,0.10419831551699207,0.030166032809649437,0.0,0.05317747702302014,0.3529349211967759,0.05590566107374947,0.0,0.0
Gewürztraminer,0.174994697773543,0.23506170280085523,0.004879215953895545,0.014298387907720114,0.20337221633141483,0.0046757935570308235,0.03089186819358922,0.5177987576330149,0.284265300797638,0.015969200820511103,0.04160860856096806,0.022742844677387165,0.19967159962841138,0.49840086876000556,0.47338070692789924,0.0,0.08815248925259714
Tempranillo Blend,0.005868065072165323,0.0022608092571858606,0.6154607762032458,0.08672993028928774,0.03912043381443549,0.27459597876404884,0.028107185148011547,0.15322569775890688,0.10054815710934291,0.0528352382181017,0.583164425588244,0.05408329345429735,0.042131869113126365,0.2045264830614842,0.058467256581381945,0.24170437017224897,0.22603556130861394
Meritage,0.0,0.015011265390305511,0.10718744235870326,0.713290111625874,0.03896263333400457,0.520013037519874,0.016965944798514907,0.22676635745659346,0.05135516667409371,0.06577764524453765,0.16503950651959823,0.1405177490584887,0.19582229975641563,0.13792287882059967,0.14116707062009154,0.12345097685434654,0.09682744061569003
Red Blend,0.004082101776619975,0.021144415824281077,0.3122561580548201,0.6004393603137974,0.03341275898640795,0.5309152298252983,0.07919822346751962,0.08119180185821358,0.09625050940706648,0.10601000932657914,0.2840474959195346,0.0381681391741708,0.11671458367505265,0.2624489944471179,0.09517655450915102,0.18826034232611824,0.12652542938068065
Nero d'Avola,0.012448806936762468,0.014388581730485225,0.42380741019378576,0.004181663974768052,0.0,0.7261258628628997,0.09215234712861628,0.003916393542986008,0.15751967472644351,0.056043659361832594,0.15413724451868463,0.014965435508614885,0.1859117640806756,0.40677442272954767,0.04886241626232964,0.08452149692686109,0.1508177657642714
Chenin Blanc,0.7209187830867804,0.03571081911995578,0.003541554428251778,0.01729735524789875,0.27463572689020205,0.0,0.008969083035615793,0.33372144838387824,0.2932094029847407,0.030909771523910036,0.0738256440398992,0.008253889870762544,0.16563500472021128,0.23276144945644633,0.33582723331663866,0.004661615941244833,0.07038354641121504
Gamay,0.004884328189956486,0.03387242924564739,0.23682610367536944,0.027071366682327895,0.37120894243669283,0.6784429345941322,0.0,0.2650650886200908,0.26652688297598004,0.0027486130466140416,0.21962419697217161,0.12330644028149586,0.32403551611991765,0.15959921219630657,0.09290717229546212,0.0,0.009103664664545352
Sauvignon Blanc,0.5638267781057626,0.07137914715682413,0.008274032978889135,0.075165054397072,0.3079793496338732,0.0023787225524909777,0.00942939622946039,0.35198420470312086,0.4896601547258635,0.16157797681446323,0.05331099682833863,0.05688581870366269,0.22112477432926733,0.10875879210854575,0.24772501423679982,0.01089080086560031,0.24142059408206695
Viognier-Chardonnay,0.2974185877218358,0.0,0.0,0.749291438139758,0.2974185877218358,0.0,0.0,0.0,0.11760484215858763,0.0,0.29072717240436735,0.0,0.0,0.0,0.40409592971492,0.0,0.0
Cabernet Sauvignon,0.003379054729060396,0.016459227882427336,0.2890854837489427,0.07467035568994,0.06540884511252625,0.6387747249462002,0.06621211913688747,0.2968188340847606,0.08341337991051714,0.19938937490904682,0.3041148482773752,0.16770911095201393,0.2572372991399619,0.1908571621083846,0.235455046668426,0.21860619654745872,0.18061929978570912
Primitivo,0.028178331031725717,0.0325690824139407,0.1841087746154702,0.0,0.028178331031725717,0.6128724649086995,0.09816010220875941,0.12410860572544356,0.051997102558690424,0.1057140651944338,0.3764396718149733,0.07904122822277847,0.2508723263828768,0.34528080874953154,0.33180561336779313,0.30610801266987614,0.12254722081179943
