,Variety,apple,character,cherry,cinnamon,dry,fresh,herb,oak,plum,soft,spice,strawberry,sweet,vanilla,Color
15,Viognier-Chardonnay,0.4491097039394021,0.4491097039394021,0.0,0.0,0.0,0.1775863312654875,0.0,0.0,0.4390054950021501,0.0,0.0,0.0,0.6101952293819631,0.0,White
16,Cabernet Sauvignon,0.003110878061473808,0.06021771104710014,0.5880787490564443,0.06095723370657243,0.2732619839641585,0.0767933266559323,0.1835649558324876,0.539856218126296,0.2799789543324714,0.2368218139839959,0.1757098970229528,0.0334034642571794,0.2167682970165371,0.1662845565506318,Red
17,Primitivo,0.02897905603556894,0.02897905603556894,0.6302880565655262,0.1009494529382212,0.1276353179244235,0.0534746698460953,0.1087180718960298,0.2872890495806434,0.3871367090994531,0.2580011994265258,0.3550924252218371,0.05007276101988208,0.3412343141215743,0.1260295641679416,Red
18,Catarratto,0.1986821726202747,0.0,0.0,0.0,0.09375809046310565,0.7856262693502521,0.5590332903065787,0.0,0.0,0.08559057736072587,0.08115117625810306,0.0,0.08998166285632325,0.0,White
19,Merlot,0.00680200029244312,0.05565272966544371,0.6700183198426705,0.07673943003558181,0.2585398760239542,0.07482082350552097,0.1489349061745443,0.3665471898161299,0.3662976248327139,0.2589269654655475,0.2212503599946913,0.04968373291494034,0.1747526076586434,0.1728807486710226,Red
20,Petit Verdot,0.0,0.03759474326906533,0.6225497986627025,0.0491109263752435,0.2838552684518867,0.1189252866007459,0.1904050220076245,0.3855540044485725,0.3491147885888166,0.1619549323268879,0.2763984143573086,0.08525968818029467,0.1532373902728137,0.2715252640533327,White
21,Chardonnay,0.6712666720450363,0.1708967844756457,0.0005893711281090142,0.05010069516577692,0.1348478974486501,0.2047702911213388,0.02415449472981592,0.5068381768698624,0.01573395762720313,0.1684719449545141,0.1676878806873306,0.0002575218051226724,0.1891747923599437,0.3279709818744638,White
22,Malbec,0.006941337145382484,0.1344884071917856,0.3079496839363497,0.02040218399335458,0.159686283057749,0.149587993727909,0.1113260410146755,0.4431396286280568,0.6878464867701221,0.1255912794586621,0.2863521388910529,0.02473741987837352,0.1744742082571223,0.1673805213092834,Red
23,Sangiovese,0.007111687894837252,0.01320742037612633,0.834656605626602,0.1181178840105331,0.06328465738726254,0.1068595600324634,0.2235425353455401,0.2130718398175907,0.2348677088391422,0.06608739777707662,0.2859102922537269,0.07241289427748455,0.08190110577214592,0.1585882033408551,Red
24,Cabernet Franc,0.0115004708112259,0.1078169138552428,0.753240503283758,0.07323880388905421,0.1641688863984169,0.1421093778199542,0.2313664762325081,0.2830642066681025,0.2571545660677778,0.2068422033707372,0.2700967655467908,0.0819703666016349,0.1536500656829132,0.1500462253448772,Red
25,Bordeaux-style Red Blend,0.00147763663563894,0.4068426203459216,0.3535209685464367,0.03024093789420046,0.4704427249446395,0.2726663392565405,0.1396965555389076,0.2242784057631143,0.2739530747736655,0.3136085432230838,0.3315427394206982,0.03638310996281355,0.2159319302523911,0.1087867895436072,Red
26,Champagne Blend,0.4781155723174339,0.4800912565005638,0.02734498697801351,0.01806618968902092,0.4698918501767808,0.3171762447214092,0.0266831766116267,0.01215701263678891,0.02896851944552568,0.41874504522329,0.07746841577712493,0.1433785281656652,0.1055831572426702,0.06075931677431901,White
27,Aglianico,0.03806105426436342,0.01268701808812114,0.6814877771700081,0.127062426042909,0.01596533899913991,0.06020019546775984,0.1237514835434878,0.1995052050188547,0.3265749830199176,0.06558550405367072,0.5492895578548881,0.04384366585313717,0.09959482255585554,0.185232667538745,Red
28,Petite Sirah,0.004111600083038161,0.06578560132861058,0.5121693361751094,0.0698240798647215,0.4113358672260889,0.07478694520905409,0.04627534101388363,0.4174497021318267,0.2652603382103885,0.4180131312277842,0.1880896106973122,0.06926802201967372,0.2495231123025532,0.1724268120480595,Red
29,Touriga Nacional,0.03270380884283679,0.7521876033852463,0.09699553717444889,0.0,0.3086584596429876,0.1810437212068604,0.03680756581600374,0.08384872035056357,0.3516483128716074,0.2817704118932685,0.2404400222369001,0.06357233489401731,0.1184904740109929,0.09143258726065402,Red
30,Carmenère,0.0,0.05479366547641918,0.2648333555320821,0.01590628805488343,0.1063015070984132,0.1251838443544912,0.2021383061779962,0.4838911082307858,0.7081941308699076,0.08130487639383652,0.3008909555831382,0.0157796151896535,0.1102917302776147,0.1163116252771058,Red
31,Albariño,0.9067455940389251,0.05238974543336011,0.0,0.01052892263065449,0.1787642382762444,0.3442023121368917,0.02267836296741006,0.06612733389324763,0.01181793801857041,0.07291540322608882,0.01646034200757752,0.0,0.08030650519944839,0.08637979930570619,White
32,Petit Manseng,0.1560370234478699,0.1560370234478699,0.0,0.06794498471515521,0.1963569341872763,0.5347328277912673,0.0,0.3200484642333761,0.0,0.04481294169617396,0.2124429488834721,0.0,0.6595679559485798,0.193886607871568,White
33,Rosé,0.08862894269365292,0.2507550573771643,0.334811585193199,0.01600185685779383,0.3617944814172689,0.3886350120829505,0.04460380496366507,0.02216918902537138,0.0986088763288686,0.2979948410376254,0.1860045011733918,0.6078970185534575,0.1461987250014947,0.09199674104785326,Rose
34,Zinfandel,0.001852101969117453,0.08797484353307904,0.4751540308795681,0.238315410619711,0.4256412480135074,0.06371493470702067,0.06253525280848676,0.3048583010119352,0.183758929863698,0.3462754310225478,0.261744106031879,0.1380102383844628,0.4034642733109359,0.1536159527997471,Red
35,Vernaccia,0.8490054170982938,0.04994149512342904,0.0123433689586209,0.01630994706176433,0.0117836924065511,0.3258386370077513,0.2810414036999662,0.2560882421137709,0.0,0.01075718406311602,0.06119539090858039,0.0,0.04523625564862108,0.1396253302709913,White
36,Rosato,0.08179080246304624,0.01363180041050771,0.7681751195005496,0.05342265605042677,0.03859706865112945,0.3018549778012276,0.3375317734596645,0.0279602666707909,0.0,0.02348985119729806,0.1113574130219176,0.4239777134558508,0.01234747992219029,0.0,Rose
37,Grüner Veltliner,0.4091265987420576,0.2341113315023996,0.0,0.01187671142991247,0.2509868227973467,0.7082205497338506,0.05116276035357285,0.03263407751206489,0.1510816225575694,0.1586234094600917,0.3973423884737539,0.0,0.03705807238571074,0.0466003640963315,White
38,Viognier,0.4478794450654749,0.1443578376657316,0.01097815044443813,0.04835337180773369,0.3074243632299451,0.2956543184491005,0.05832336306492755,0.3909948891254059,0.01085461772411496,0.194537194001538,0.2479450988017415,0.004796830018516029,0.3620967497176723,0.4553350805544907,White
39,Vermentino,0.4977078351027705,0.1571708952956118,0.0,0.0,0.1977837981126717,0.7354214989874106,0.3243040135798863,0.08059353887628899,0.01280290132602937,0.1241311038358769,0.08559468192216657,0.0,0.05931793109903911,0.09764776035728572,White
40,Grenache Blanc,0.7843264094647325,0.05228842729764883,0.01723123824001872,0.02276854758579255,0.3289986905277887,0.2756775576206666,0.1176994238452497,0.2859976089265669,0.0,0.07508468798294535,0.08542824600575162,0.0,0.1105115002530092,0.276130681658611,White
41,Syrah,0.002835943955509857,0.1028029683872323,0.5467193153069513,0.06483159338567339,0.265648891668697,0.1216702718673855,0.2186386701676694,0.3991793731616616,0.3596851665336189,0.2510594226343328,0.3168041728702238,0.04777707568574201,0.2324723645955926,0.2114311878673007,Red
42,Nebbiolo,0.006614649152805069,0.007087124092291145,0.8015455803490693,0.1672626879805963,0.02675530322645493,0.1027539590221039,0.2882151636586071,0.2132011531275775,0.08544133466761787,0.03704394422151006,0.394839257167246,0.08694521591550147,0.05734673363388588,0.1193244627693792,Red
43,Shiraz-Cabernet Sauvignon,0.0,0.1364944270832702,0.404825943665589,0.0,0.1932351051944924,0.05397243553475561,0.0,0.4199467933872412,0.3335588331821656,0.235202518001586,0.3902553618717098,0.08844300543508188,0.1236346005038652,0.5088108105841262,Red
44,Pinot Blanc,0.7142757612280587,0.09763481628297205,0.005080228828844903,0.04027665228409424,0.2667433805233962,0.4957903107548294,0.04048441929319876,0.1159396241126332,0.08036900884859313,0.3010627860912808,0.1847011941614099,0.0,0.0465453416375879,0.1149327433146636,White
45,Alsace white blend,0.4981216296935483,0.0,0.0,0.0,0.6083997243703873,0.5793134071392181,0.0,0.0,0.05728408650603389,0.100981896200315,0.1436162702155605,0.0,0.1061626082996657,0.02730661691919998,White
46,Barbera,0.01258060456718951,0.03774181370156852,0.7412759904995231,0.101892965977902,0.07361614142142348,0.2308216752465404,0.05380515293437475,0.2683631874770819,0.265627344319676,0.1474135725598846,0.4028593922835266,0.05869249619636908,0.1230694832923618,0.1782077219427194,Red
47,Rhône-style Red Blend,0.006874739737230864,0.1048397809927707,0.7068410492386467,0.1436902322934787,0.160587343362518,0.1277647988646381,0.1121922932631428,0.2273757136055254,0.3847239913364891,0.2191568434701923,0.3074725143286487,0.09577304454221883,0.1774705238563964,0.1761855854806031,Red
48,Portuguese White,0.4316402209429503,0.5718120452697847,0.0,0.002906505700633111,0.1364939436399857,0.5102761452507136,0.007512425750444348,0.0342270547882577,0.0761212196092088,0.3814787086725226,0.2108356658582385,0.0,0.08262836187059082,0.06220464984475511,White
